id;Comp. Word;Frequency;Grammatical Feature;Pronunciation;English Translation;heisig_numbers;max_heisig_numbers
18177;巡歴;23;light-verb -suru attached;じゅんれき;itinerancy;(303, 402);402
18178;暑熱;23;general noun;しょねつ;heat of summer;(1350, 1634);1634
18179;諸点;23;general noun;しょてん;various points;(1351, 181);1351
18180;小波;23;general noun;さざなみ;ripple;(110, 866);866
18181;小鼻;23;general noun;こばな;nostrils;(110, 733);733
18182;小片;23;general noun;しょうへん;crumbling;(110, 1297);1297
18183;蒸散;23;light-verb -suru attached;じょうさん;transpiration;(2049, 1273);2049
18184;色盲;23;general noun;しきもう;color-blindness;(1890, 525);1890
18185;新釈;23;general noun;しんしゃく;new interpretation;(1619, 2057);2057
18186;神域;23;general noun;しんいき;Shinto shrine precincts;(1200, 380);1200
18187;神品;23;general noun;しんぴん;an inspired work;(1200, 23);1200
18188;凄絶;23;general noun;せいぜつ;extremely gruesome;(2036, 1891);2036
18189;先程;23;possible to use as an adverb;さきほど;some time ago;(263, 960);960
18190;染物;23;light-verb -suru attached;そめもの;dyeing;(548, 1129);1129
18191;線審;23;general noun;せんしん;linesman;(1438, 2059);2059
18192;船客;23;general noun;せんきゃく;passenger;(2019, 315);2019
18193;塑像;23;general noun;そぞう;earthen image;(2110, 2131);2131
18194;疏水;23;general noun;そすい;canal;(9999, 137);9999
18195;槍術;23;general noun;そうじゅつ;spearmanship;(9999, 1644);9999
18196;草市;23;general noun;くさいち;flower market during obon;(238, 440);440
18197;装釘;23;light-verb -suru attached;そうてい;binding;(425, 9999);9999
18198;霜柱;23;general noun;しもばしら;frost columns;(455, 286);455
18199;増援;23;light-verb -suru attached;ぞうえん;reinforcement;(541, 2101);2101
18200;耐圧;23;general noun;たいあつ;pressure-resistant;(1248, 163);1248
18201;丹前;23;general noun;たんぜん;large padded kimono;(2196, 309);2196
18202;単数;23;general noun;たんすう;singular number;(2078, 998);2078
18203;端整;23;adjectival noun, na-adjective;たんせい;shapely;(1251, 1800);1800
18204;中篇;23;general noun;ちゅうへん;second part;(39, 9999);9999
18205;町並;23;general noun;まちなみ;street;(96, 1924);1924
18206;沈静;23;adjectival noun, na-adjective;ちんせい;stillness;(2033, 1660);2033
18207;通人;23;general noun;つうじん;man of the world;(1511, 1023);1511
18208;艇身;23;general noun;ていしん;boat length;(2021, 1337);2021
18209;天涯;23;general noun;てんがい;horizon;(457, 169);457
18210;天水;23;general noun;てんすい;rain water;(457, 137);457
18211;電離;23;light-verb -suru attached;でんり;ionization;(574, 1605);1605
18212;登城;23;light-verb -suru attached;とじょう;attendance at a castle;(1838, 387);1838
18213;土色;23;general noun;つちいろ;earth;(161, 1890);1890
